titre,annee,description,note_imdb,votes_imdb,note_jwrating,runtime,type,genres,producteur,plateformes
The Girlfriend,2025,"Laura a tout pour elle : une carrière brillante, un mari attentionné et Daniel, son fils adoré. Mais sa vie parfaite vacille lorsque Daniel présente sa petite amie Cherry. Après cette rencontre tendue, Laura est convaincue que Cherry cache quelque chose. Est-elle une opportuniste manipulatrice, ou bien Laura est-elle paranoïaque ? Tout est question de perspective.",7.2,14421.0,0.859791955042,50,SHOW,Drame,N/A,"Amazon Prime Video, Amazon Prime Video with Ads"
À la frontière du continent,2025,"Quand un avion de transport de prisonniers s’écrase dans les étendues sauvages et isolées d’Alaska, libérant des dizaines de détenus violents, le seul marshal de la région doit assurer la sécurité de la ville qu’il a juré de protéger.",7.1,1691.0,0.735578760926,0,SHOW,"Drame, Action & Aventure, Mystère & Thriller",Sam Hargrave,Apple TV+
Platonic,2023,Deux anciens meilleurs amis se retrouvent après de nombreuses années. L'amitié dévorante des deux quadragénaires chamboule leurs vies de façon hilarante.,7.2,24763.0,0.863773704194,31,SHOW,"Comédie, Comédie Romantique",Nicholas Stoller,Apple TV+
Outlander: Blood of My Blood,2025,"Des champs de bataille de la Première Guerre mondiale aux Highlands de l'Écosse du XVIIIe siècle, ce préquel revient sur l’histoire d’amour des parents de Jamie Fraser, Ellen MacKenzie et Brian Fraser, et ceux de Claire, Julia Moriston et Henry Beauchamp, explorant jusqu'où une personne peut aller par amour à une époque où les mariages ont un rôle stratégique, souvent à des fins politiques ou financières.",8.2,3801.0,0.766812399069,60,SHOW,Drame,Jamie Payne,"Amazon Video, Canal VOD, HBO Max, Apple TV, HBO Max  Amazon Channel"
Futurama,1999,"Accidentellement cryogénisé le 31 décembre 1999 alors qu'il livrait une pizza, Fry se réveille 1.000 ans plus tard à New York. À l'aube de l'an 3000, le monde a bien changé, peuplé de robots et d'extraterrestres. Le jeune homme retrouve l'un de ses descendants qui l'engage lui et ses nouveaux amis, Leela et Bender, au Planet Express, une entreprise de livraison. Ensemble, ils vont devoir faire face à de périlleuses et délirantes missions dans un monde des plus surprenants.",8.5,274804.0,0.947233264489,23,SHOW,"Comédie, Science-Fiction, Animation",Edmund Fong,"Disney Plus, Apple TV"
Kaamelott,2005,"Vème siècle, île de Bretagne. Alors que l'Empire romain s'effondre et que le christianisme s'impose peu à peu face aux dieux païens, le royaume de Kaamelott s'organise autour de son souverain, le roi Arthur ; entouré de ses fidèles chevaliers, il s'attelle à la mission que les Dieux lui ont confié : rechercher le Saint Graal. Mais cette quête s'annonce plus que difficile, car Arthur est très mal entouré. Ses chevaliers de la Table Ronde sont un faible renfort contre les défis qui se dressent sur la route : peureux, naïfs, stupides ou au contraire violents, archaïques et désordonnés, les troupes de Bretagne ne comprennent pas l'enjeu de la quête du Graal et peinent à se rendre utiles. L'entourage familial du roi n'est guère plus sensé : son quotidien déjà bien chargé est parsemé de conflits avec sa femme Guenièvre ou sa belle-famille.",8.8,4340.0,0.902872060158,5,SHOW,"Comédie, Drame, Fantastique, Réalisé en Europe",François Guérin,"Molotov TV, Fnac , M6+, Amazon Video, Canal VOD, Apple TV, Orange VOD"
Buffy contre les vampires,1997,"A chaque génération il y a une élue. Seule elle devra affronter les vampires, les démons et les forces de l'ombre. Concilier scolarité difficile et affrontements nocturnes, ce n'est pas facile. Et c'est pourtant le quotidien de Buffy, une adolescente comme les autres avec ses problèmes affectifs et scolaires, mais qui la nuit part à la chasse aux vampires !",8.3,170765.0,0.924671833644,52,SHOW,"Action & Aventure, Drame, Fantastique, Horreur, Comédie Romantique, Comédie, Science-Fiction",David Fury,Disney Plus
Adolescence,2025,"Lorsqu'un ado de 13 ans est accusé de meurtre, sa famille, une psychologue clinicienne et l'inspecteur chargé de l'affaire se demandent ce qui s'est vraiment passé.",8.1,246390.0,0.905851723594,57,SHOW,"Crime & Thriller, Drame, Mystère & Thriller",Philip Barantini,"Netflix, Netflix Standard with Ads"
Chicago Fire : Caserne 51,2012,"La série se déroule de nos jours à Chicago, aux États-Unis et suit les membres d'une caserne des sapeurs-pompiers de la ville : le Chicago Fire Department.",8.0,70029.0,0.862468222569,41,SHOW,"Action & Aventure, Drame",Daniel Sackheim,"Fnac , Amazon Video, Amazon Prime Video, Canal VOD, Amazon Prime Video with Ads, Apple TV, Universal+ Amazon Channel, Zavvi"
One Punch Man,2015,"Saitama vient d'essuyer un énième refus d'embauche… Dépité, il voit sa vie basculer lorsqu'un homme-crabe menace sous ses yeux un garçon à tête de cul ! Il le sauve, et c'est la révélation. Il devient super-héros ! Encore un ? Non pas vraiment. Lui, c'est un anti-héros complètement à côté de la plaque. Son super pouvoir est de terrasser n'importe quel ennemi en un seul coup de poing. Quel ennui d'être si puissant… Saitama parviendra-t-il à enfin retrouver l'extase du combat en rencontrant un adversaire à sa mesure ?!",8.6,209899.0,0.923280355424,24,SHOW,"Animation, Action & Aventure, Comédie, Fantastique, Science-Fiction",Shingo Natsume,"Fnac , Crunchyroll, Crunchyroll Amazon Channel, Netflix Standard with Ads, Netflix, Zavvi"
High Potential,2024,Morgan est une mère célibataire dotée d'un intellect exceptionnel. Son talent peu commun à résoudre des crimes l'amène à former un duo insolite et irrésistible avec un détective aguerri et respectueux des règles.,7.6,36693.0,0.895564516907,43,SHOW,"Drame, Comédie, Crime & Thriller",James Roday Rodriguez,Disney Plus
Les Disparues de la gare,2025,"À Perpignan, entre 1995 et 2001, une adolescente disparaît et trois jeunes femmes sont assassinées autour de la gare. Elles sont jeunes, belles et animées par un fort désir d’émancipation. Leurs visages s’affichent dans les journaux. Elles deviennent ""les Disparues de la Gare"". Flore Robin, jeune enquêtrice, fait ses premiers pas dans la police le jour même où le premier corps est retrouvé. Elle devra faire équipe avec le capitaine de police Franck Vidal et son mentor Felix Sabueso, longtemps mis au placard, mais rappelé spécialement pour cette affaire hors normes. Parallèlement, la mère de la jeune fille portée disparue, explore chaque piste pour retrouver sa fille. Pendant 20 ans, alors qu’une véritable psychose s’abat peu à peu sur la ville, la traque d’un tueur en série impitoyable mais introuvable fait rage.",6.5,228.0,0.355302822862,47,SHOW,"Crime & Thriller, Drame, Mystère & Thriller",Virginie Sauveur,Disney Plus
